GOterm	Definition	Ontology_source
GO:1902476	The directed movement of chloride across a membrane.	biological_process
GO:1902475	The directed movement of L-alpha-amino acid across a membrane.	biological_process
GO:1902418	The directed movement of (+)-abscisic acid D-glucopyranosyl ester across a membrane.	biological_process
GO:0089708	The directed movement of L-histidine out of the vacuole, across the vacuolar membrane.	biological_process
GO:0015626	Catalysis of the transfer of L-diaminopimelate from one side of a membrane to the other. L-diaminopimelate is the L-enantiomer anion of 2,6-diaminoheptanedioic acid.	molecular_function
GO:0033570	Enables the transfer of transferrin from one side of a membrane to the other.	molecular_function
GO:0033569	Catalysis of the transfer of lactoferrin from one side of a membrane to the other.	molecular_function
GO:1902361	The directed movement of pyruvate across a mitochondrial membrane.	biological_process
GO:1902313	Any process that activates or increases the frequency, rate or extent of copper ion transmembrane transport.	biological_process
GO:1902312	Any process that stops, prevents or reduces the frequency, rate or extent of copper ion transmembrane transport.	biological_process
GO:1902307	Any process that activates or increases the frequency, rate or extent of sodium ion transmembrane transport.	biological_process
GO:1902306	Any process that stops, prevents or reduces the frequency, rate or extent of sodium ion transmembrane transport.	biological_process
GO:1902305	Any process that modulates the frequency, rate or extent of sodium ion transmembrane transport.	biological_process
GO:1902274	Any process that activates or increases the frequency, rate or extent of (R)-carnitine transmembrane transport.	biological_process
GO:1902273	Any process that stops, prevents or reduces the frequency, rate or extent of (R)-carnitine transmembrane transport.	biological_process
GO:1902272	Any process that modulates the frequency, rate or extent of (R)-carnitine transmembrane transport.	biological_process
GO:1902270	The directed movement of (R)-carnitine across a membrane.	biological_process
GO:1902268	Any process that stops, prevents or reduces the frequency, rate or extent of polyamine transmembrane transport.	biological_process
GO:1902267	Any process that modulates the frequency, rate or extent of polyamine transmembrane transport.	biological_process
GO:0048249	Enables the transfer of phosphate from one side of the membrane to the other. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0033287	Enables the transfer of hydroxyectoine from one side of the membrane to the other.	molecular_function
GO:0015554	Enables the transfer of tartrate from one side of the membrane to the other. Tartrate is the anion of 2,3-dihydroxybutanedioic acid, one of the aldaric acids. The L(+) enantiomer occurs widely in plants, especially in grape juice, and in fungi and bacteria.	molecular_function
GO:0015556	Enables the transfer of C4-dicarboxylate from one side of the membrane to the other.	molecular_function
GO:0033229	Enables the transfer of cysteine from one side of the membrane to the other.	molecular_function
GO:0033224	Enables the directed movement of 2-aminoethylphosphonate into, out of or within a cell, or between cells.	molecular_function
GO:0033155	Enables the transfer of oligogalacturonide from one side of the membrane to the other.	molecular_function
GO:0019535	Enables the transfer of ferric-vibriobactin ions from one side of a membrane to the other.	molecular_function
GO:0004888	Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.	molecular_function
GO:0010290	Enables the directed movement of chlorophyll catabolites such as non-fluorescent chlorophyll catabolites (NCCs), from one side of the membrane to the other.	molecular_function
GO:0010329	Catalysis of the transfer of auxin, from one side of a membrane to the other, out of a cell.	molecular_function
GO:0072531	The directed movement of a pyrimidine-containing compound across a membrane. A pyrimidine-containing compound is any compound that contains pyrimidine or a formal derivative thereof.	biological_process
GO:0072530	The directed movement of a purine-containing compound across a membrane. A purine-containing compound is any compound that contains purine or a formal derivative thereof.	biological_process
GO:0072510	Enables the transfer of inorganic cations with a valency of three from one side of the membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.	molecular_function
GO:0072489	The directed movement of methylammonium across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0072488	The directed movement of ammonium across a membrane by means of some agent such as a transporter or pore. Ammonium is the cation NH4+.	biological_process
GO:0030936	Any collagen trimer that passes through a lipid bilayer membrane.	cellular_component
GO:0072349	Enables the transfer of modified amino acids from one side of a membrane to the other.	molecular_function
GO:0030504	Enables the transfer of inorganic diphosphate across a membrane.	molecular_function
GO:0030233	Catalyzes transport of all four deoxy (d) NDPs, and, less efficiently, the corresponding dNTPs, in exchange for dNDPs, ADP, or ATP.	molecular_function
GO:0030184	Enables the directed movement of nitric oxide, nitrogen monoxide, from one side of a membrane to the other.	molecular_function
GO:0030297	Binds to and increases the activity of a transmembrane receptor protein tyrosine kinase.	molecular_function
GO:0003333	The directed movement of amino acids, organic acids containing one or more amino substituents across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:1903425	Enables the transfer of fluoride from one side of the membrane to the other.	molecular_function
GO:1903424	The directed movement of fluoride across a membrane.	biological_process
GO:0015094	Enables the transfer of lead (Pb) ions from one side of a membrane to the other.	molecular_function
GO:1903352	The directed movement of L-ornithine across a membrane.	biological_process
GO:0060869	A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses serine/threonine kinase activity, which contributes to the process of floral organ abscission.	biological_process
GO:0060865	The series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand and contributing to the decrease in the rate or frequency of floral organ abscission.	biological_process
GO:1903222	The directed movement of quinolinic acid across a membrane.	biological_process
GO:0075213	Any process in which the symbiont organism stops, prevents, or reduces the frequency, rate or extent of its symbiont transmembrane receptor-mediated cAMP signal transduction as a result of detecting molecules of its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075212	Any process in which the symbiont organism activates, maintains or increases the frequency, rate or extent of its transmembrane receptor-mediated cAMP signal transduction as a result of detecting molecules of its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:0075211	Any process in which the symbiont organism modulates the frequency, rate or extent of its transmembrane receptor-mediated cAMP signal transduction as a result of detecting molecules of its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction.	biological_process
GO:1903826	The directed movement of arginine across a membrane.	biological_process
GO:1903825	The directed movement of organic acid across a membrane.	biological_process
GO:1903797	Any process that activates or increases the frequency, rate or extent of inorganic anion transmembrane transport.	biological_process
GO:1903796	Any process that stops, prevents or reduces the frequency, rate or extent of inorganic anion transmembrane transport.	biological_process
GO:1903795	Any process that modulates the frequency, rate or extent of inorganic anion transmembrane transport.	biological_process
GO:1903791	The directed movement of uracil across a membrane.	biological_process
GO:1903790	The directed movement of guanyl nucleotide across a membrane.	biological_process
GO:1903789	Any process that modulates the frequency, rate or extent of amino acid transmembrane transport.	biological_process
GO:1903785	The directed movement of L-valine across a membrane.	biological_process
GO:1903716	The directed movement of guanine across a membrane.	biological_process
GO:1903714	The directed movement of isoleucine across a membrane.	biological_process
GO:1903713	The directed movement of asparagine across a membrane.	biological_process
GO:1903712	The directed movement of cysteine across a membrane.	biological_process
GO:1903711	The directed movement of spermidine across a membrane.	biological_process
GO:1903710	The directed movement of spermine across a membrane.	biological_process
GO:0022897	Catalysis of the transfer of a peptide from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by proton movement.	molecular_function
GO:1903959	Any process that modulates the frequency, rate or extent of anion transmembrane transport.	biological_process
GO:0007185	A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses protein tyrosine phosphatase activity, and ending with regulation of a downstream cellular process, e.g. transcription.	biological_process
GO:0007178	A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses serine/threonine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription.	biological_process
GO:0007171	Any process that initiates the activity of the inactive transmembrane receptor protein tyrosine kinase activity.	biological_process
GO:0007170	OBSOLETE (was not defined before being made obsolete).	biological_process
GO:0007169	A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription.	biological_process
GO:0034257	Enables the transfer of nicotinamide riboside, which is a pyridine-3-carboxamide covalently bonded to a ribose sugar, from one side of a membrane to the other.	molecular_function
GO:0034228	Enables the transfer of ethanolamine from one side of the membrane to the other. Ethanolamine (2-aminoethanol, monoethanolamine) is an amino alcohol that occurs widely in living organisms as a constituent of certain types of phospholipids, such as phosphatidylethanolamine.	molecular_function
GO:0034219	The process in which a carbohydrate is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0015603	Enables the transfer of an iron chelate from one side of a membrane to the other. An iron chelate is a heterocyclic compound having a metal ion attached by coordinate bonds to at least two nonmetal ions.	molecular_function
GO:0015604	Enables the transfer of phosphonate from one side of a membrane to the other. A phosphonate is any salt, anion, or ester of phosphonic acid (HPO(OH)2).	molecular_function
GO:0015620	Catalysis of the transfer of ferric-enterobactin from one side of a membrane to the other.	molecular_function
GO:0015654	Enables the transfer of tellurite from the outside of a cell to the inside across a membrane: tellurite(out) + H+(out) = tellurite(in) + H+(in).	molecular_function
GO:0015663	Enables the directed movement of nicotinamide mononucleotide into, out of or within a cell, or between cells. Nicotinamide mononucleotide is a ribonucleotide in which the nitrogenous base, nicotinamide, is in beta-n-glycosidic linkage with the c-1 position of d-ribose. It is a constituent of NAD and NADP.	molecular_function
GO:0015665	Enables the transfer of an alcohol from one side of the membrane to the other. An alcohol is any carbon compound that contains a hydroxyl group.	molecular_function
GO:1905039	The directed movement of carboxylic acid across a membrane.	biological_process
GO:1905011	The directed movement of phosphate ions across a membrane from the cytosol into a vacuole.	biological_process
GO:0035873	The directed movement of lactate across a membrane by means of some agent such as a transporter or pore. Lactate is 2-hydroxypropanoate, CH3-CHOH-COOH; L(+)-lactate is formed by anaerobic glycolysis in animal tissues, and DL-lactate is found in sour milk, molasses and certain fruit juices.	biological_process
GO:0035827	Enables the transfer of rubidium ions (Rb+) from one side of a membrane to the other.	molecular_function
GO:2001149	Any process that stops, prevents or reduces the frequency, rate or extent of dipeptide transmembrane transport.	biological_process
GO:2001148	Any process that modulates the frequency, rate or extent of dipeptide transmembrane transport.	biological_process
GO:0035796	A complex for the transport of metabolites into the cell, consisting of 4 subunits: a transmembrane substrate-binding protein (known as the S component), and an energy-coupling module that comprises two ATP-binding proteins (known as the A and A' components) and a transmembrane protein (known as the T component). Transport of the substrate across the membrane is driven by the hydrolysis of ATP.	cellular_component
GO:0035725	A process in which a sodium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0100063	Any transcription from RNA polymerase II promoter process that regulates dipeptide transmembrane transport	biological_process
GO:0100035	Any transcription from RNA polymerase II promoter process that negatively_regulates transmembrane transport	biological_process
GO:1905409	Any process that activates or increases the frequency, rate or extent of creatine transmembrane transporter activity.	biological_process
GO:1905408	Any process that stops, prevents or reduces the frequency, rate or extent of creatine transmembrane transporter activity.	biological_process
GO:1905407	Any process that modulates the frequency, rate or extent of creatine transmembrane transporter activity.	biological_process
GO:0089722	The directed movement of phosphoenolpytuvate across a membrane.	biological_process
GO:1905201	Catalysis of the transfer of gibberellin from one side of the membrane to the other.	molecular_function
GO:1905200	The directed movement of gibberellic acid across a membrane.	biological_process
GO:1905131	Catalysis of the transfer of carcinine from one side of the membrane to the other.	molecular_function
GO:1905701	Any process that activates or increases the frequency, rate or extent of drug transmembrane export.	biological_process
GO:1905700	Any process that stops, prevents or reduces the frequency, rate or extent of drug transmembrane export.	biological_process
GO:1905699	Any process that modulates the frequency, rate or extent of drug transmembrane export.	biological_process
GO:0035524	The directed movement of proline, pyrrolidine-2-carboxylic acid, across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0035674	The process in which tricarboxylic acids are transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0035673	Enables the transfer of oligopeptides from one side of the membrane to the other.	molecular_function
GO:0035672	The directed movement of an oligopeptide across a membrane by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.	biological_process
GO:0008271	Catalysis of the secondary active transfer of sulfate from one side of the membrane to the other. Secondary active transport is catalysis of the transfer of a solute from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0035461	The process in which a vitamin is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. A vitamin is one of a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body.	biological_process
GO:0035445	The directed movement of borate across a membrane by means of some agent such as a transporter or pore. Borate is the anion (BO3)3-; boron is a group 13 element, with properties which are borderline between metals and non-metals.	biological_process
GO:0035444	The directed movement of nickel (Ni) cations across a membrane by means of some agent such as a transporter or pore.	biological_process
GO:0035442	The directed movement of a dipeptide across a membrane by means of some agent such as a transporter or pore. A dipeptide is a combination of two amino acids linked together by a peptide (-CO-NH-) bond.	biological_process
GO:0035429	The directed movement of gluconate across a membrane by means of some agent such as a transporter or pore. Gluconate is the aldonic acid derived from glucose.	biological_process
GO:0035428	The directed movement of hexose across a membrane by means of some agent such as a transporter or pore. Hexoses are any aldoses with a chain of six carbon atoms in the molecule.	biological_process
GO:0035382	The directed movement of a sterol across a membrane into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Sterols are steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.	biological_process
GO:0035379	Enables the transfer of carbon dioxide (CO2) from one side of a membrane to the other.	molecular_function
GO:0035378	A process in which carbon dioxide (CO2) is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0035349	The process in which coenzyme A is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. Coenzyme A, 3'-phosphoadenosine-(5')diphospho(4')pantatheine, is an acyl carrier in many acylation and acyl-transfer reactions in which the intermediate is a thiol ester.	biological_process
GO:0035348	The process in which acetyl-CoA is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. Acetyl-CoA is a derivative of coenzyme A in which the sulfhydryl group is acetylated; it is a metabolite derived from several pathways (e.g. glycolysis, fatty acid oxidation, amino-acid catabolism) and is further metabolized by the tricarboxylic acid cycle. It is a key intermediate in lipid and terpenoid biosynthesis.	biological_process
GO:0008523	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: multivitamin(out) + Na+(out) = multivitamin(in) + Na+(in). Multivitamins include pantothenate, biotin and lipoate.	molecular_function
GO:0008519	Enables the transfer of ammonium from one side of a membrane to the other. Ammonium is the cation NH4+ which is formed from N2 by root-nodule bacteria in leguminous plants and is an excretory product in ammonotelic animals.	molecular_function
GO:0008515	Enables the transfer of sucrose from one side of the membrane to the other. Sucrose is the disaccharide O-beta-D-fructofuranosyl-(2->1)-alpha-D-glucopyranoside, a sweet-tasting, non-reducing sugar isolated industrially from sugar beet or sugar cane.	molecular_function
GO:0008514	Enables the transfer of organic anions from one side of a membrane to the other. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage.	molecular_function
GO:0008513	Catalysis of the transfer of organic cations from one side of the membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.	molecular_function
GO:0008509	Enables the transfer of a negatively charged ion from one side of a membrane to the other.	molecular_function
GO:0008504	Enables the transfer of monoamines, organic compounds that contain one amino group that is connected to an aromatic ring by an ethylene group (-CH2-CH2-), from one side of the membrane to the other.	molecular_function
GO:0070835	Enables the transfer of chromium (Cr) ions from one side of a membrane to the other.	molecular_function
GO:0070762	A subcomplex of the nuclear pore complex (NPC) that spans the nuclear membrane and anchors the NPC to the nuclear envelope. In S. cerevisiae, the transmembrane ring is composed of Pom152p, Pom34p, and Ndc1p. In vertebrates, it is composed of Gp210, Ndc1, and Pom121. Components are arranged in 8-fold symmetrical 'spokes' around the central transport channel. A single 'spoke', can be isolated and is sometime referred to as the Ndc1 complex.	cellular_component
GO:0070696	Interacting selectively and non-covalently with a receptor that spans a cell membrane and possesses protein serine/threonine kinase activity.	molecular_function
GO:0070588	A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:0043865	Enables the transfer of methionine from one side of a membrane to the other.	molecular_function
GO:0016820	Catalysis of the hydrolysis of an acid anhydride to directly drive the transport of a substance across a membrane.	molecular_function
GO:0017027	OBSOLETE (was not defined before being made obsolete).	molecular_function
GO:0032414	Any process that activates or increases the activity of an ion transporter.	biological_process
GO:0032413	Any process that stops or reduces the activity of an ion transporter.	biological_process
GO:0032412	Any process that modulates the activity of an ion transporter.	biological_process
GO:0032523	Catalysis of the transfer of silicon from the inside of the cell to the outside of the cell across a membrane.	molecular_function
GO:0005477	Catalysis of the transfer of pyruvate from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0005464	Enables the transfer of UDP-xylose from one side of the membrane to the other. UDP-xylose is a substance composed of xylose in glycosidic linkage with uridine diphosphate.	molecular_function
GO:0005463	Catalysis of the transfer of a N-acetylgalactosamine from one side of the membrane to the other. N-acetylgalactosamine is a substance composed of N-acetylgalactosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.	molecular_function
GO:0005462	Enables the transfer of a UDP-N-acetylglucosamine from one side of the membrane to the other. N-acetylglucosamine is a substance composed of N-acetylglucosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.	molecular_function
GO:0005461	Catalysis of the transfer of a UDP-glucuronic acid from one side of the membrane to the other. UDP-glucuronic acid is a substance composed of glucuronic acid in glycosidic linkage with uridine diphosphate.	molecular_function
GO:0005460	Enables the transfer of a UDP-glucose from one side of the membrane to the other. UDP-glucose is a substance composed of glucose in glycosidic linkage with uridine diphosphate.	molecular_function
GO:0005457	Enables the transfer of a GDP-fucose from one side of the membrane to the other. GDP-fucose is a substance composed of fucose in glycosidic linkage with guanosine diphosphate.	molecular_function
GO:0005456	Enables the transfer of a CMP-N-acetylneuraminate from one side of the membrane to the other.	molecular_function
GO:0005430	Enables the transfer of amines across synaptic vesicle membranes.	molecular_function
GO:0005429	Enables the transfer of amines across chromaffin granule membranes.	molecular_function
GO:0005385	Enables the transfer of zinc (Zn) ions from one side of a membrane to the other.	molecular_function
GO:0005384	Catalysis of the transfer of manganese (Mn) ions from one side of a membrane to the other.	molecular_function
GO:0005381	Catalysis of the transfer of iron (Fe) ions from one side of a membrane to the other.	molecular_function
GO:0005375	Catalysis of the transfer of copper (Cu) ions from one side of a membrane to the other.	molecular_function
GO:0005372	Enables the directed movement of water (H2O) from one side of a membrane to the other.	molecular_function
GO:0005371	Catalysis of the transfer of tricarboxylate from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0005368	Enables the transfer of taurine from one side of the membrane to the other. Taurine (2-aminoethanesulfonic acid) is a sulphur-containing amino acid derivative which is important in the metabolism of fats.	molecular_function
GO:0005365	Enables the transfer of myo-inositol from one side of the membrane to the other. Myo-inositol is 1,2,3,4,5/4,6-cyclohexanehexol, a growth factor for animals and microorganisms.	molecular_function
GO:0005363	Enables the transfer of maltose from one side of the membrane to the other. Maltose is the disaccharide 4-O-alpha-D-glucopyranosyl-D-glucopyranose, an intermediate in the enzymatic breakdown of glycogen and starch.	molecular_function
GO:0005355	Enables the transfer of the hexose monosaccharide glucose from one side of the membrane to the other.	molecular_function
GO:0005354	Enables the transfer of galactose from one side of the membrane to the other. D-galactose is widely distributed in combined form in plants, animals and microorganisms as a constituent of oligo- and polysaccharides; it also occurs in galactolipids and as its glucoside in lactose and melibiose.	molecular_function
GO:0005353	Enables the transfer of fructose from one side of the membrane to the other. Fructose exists in a open chain form or as a ring compound. D-fructose is the sweetest of the sugars and is found free in a large number of fruits and honey.	molecular_function
GO:0005350	Enables the transfer of pyrimidine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, from one side of a membrane to the other.	molecular_function
GO:0005347	Enables the transfer of ATP, adenosine triphosphate, from one side of a membrane to the other.	molecular_function
GO:0005346	Enables the transfer of a purine ribonucleotide, any compound consisting of a purine ribonucleoside (a purine organic base attached to a ribose sugar) esterified with (ortho)phosphate, from one side of a membrane to the other.	molecular_function
GO:0005345	Enables the transfer of purine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, from one side of a membrane to the other.	molecular_function
GO:0005342	Enables the transfer of organic acids, any acidic compound containing carbon in covalent linkage, from one side of the membrane to the other.	molecular_function
GO:0005338	Enables the transfer of a nucleotide-sugar from one side of the membrane to the other. A nucleotide-sugar is any nucleotide in which the distal phosphoric residue of a nucleoside 5'-diphosphate is in glycosidic linkage with a monosaccharide or monosaccharide derivative.	molecular_function
GO:0005337	Enables the transfer of a nucleoside, a nucleobase linked to either beta-D-ribofuranose (ribonucleoside) or 2-deoxy-beta-D-ribofuranose, (a deoxyribonucleotide) from one side of a membrane to the other.	molecular_function
GO:0005333	Enables the transfer of norepinephrine from one side of the membrane to the other. Norepinephrine (3,4-dihydroxyphenyl-2-aminoethanol) is a hormone secreted by the adrenal medulla and a neurotransmitter in the sympathetic peripheral nervous system and in some tracts of the CNS. It is also the biosynthetic precursor of epinephrine.	molecular_function
GO:0005329	Enables the transfer of dopamine from one side of the membrane to the other. Dopamine is a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline.	molecular_function
GO:0005314	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: glutamate(out) + H+(out) = glutamate(in) + H+(in). In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0005313	Enables the transfer of L-glutamate from one side of a membrane to the other. L-glutamate is the anion of 2-aminopentanedioic acid.	molecular_function
GO:0005308	Enables the directed movement of creatine across a membrane. Creatine is a compound synthesized from the amino acids arginine, glycine, and methionine that occurs in muscle.	molecular_function
GO:0005304	Enables the transfer of L-valine from one side of a membrane to the other. L-valine is 2-amino-3-methylbutanoic acid.	molecular_function
GO:0005294	Catalysis of the transfer of a neutral L-amino acid from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0005292	Catalysis of the transfer of lysine from one side of a membrane to the other. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0005291	Catalysis of the transfer of L-histidine from one side of a membrane to the other. L-histidine is 2-amino-3-(1H-imidazol-4-yl)propanoic acid. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0005290	Enables the transfer of L-histidine from one side of a membrane to the other. L-histidine is 2-amino-3-(1H-imidazol-4-yl)propanoic acid.	molecular_function
GO:0005289	Catalysis of the transfer of arginine from one side of a membrane to the other. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0005287	Catalysis of the transfer of basic amino acids from one side of a membrane to the other. Acidic amino acids have a pH above 7. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.	molecular_function
GO:0005277	Enables the transfer of acetylcholine from one side of the membrane to the other. Acetylcholine is an acetic acid ester of the organic base choline and functions as a neurotransmitter, released at the synapses of parasympathetic nerves and at neuromuscular junctions.	molecular_function
GO:0005275	Enables the transfer of amines, including polyamines, from one side of the membrane to the other. Amines are organic compounds that are weakly basic in character and contain an amino (-NH2) or substituted amino group.	molecular_function
GO:0005274	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: allantoin(out) + H+(out) = allantoin(in) + H+(in) by secondary active transport.	molecular_function
GO:0005108	OBSOLETE (was not defined before being made obsolete).	molecular_function
GO:0005071	OBSOLETE (was not defined before being made obsolete).	molecular_function
GO:0005068	The binding activity of a molecule that brings together a transmembrane receptor protein tyrosine kinase and one or more other molecules, permitting them to function in a coordinated way.	molecular_function
GO:0005066	OBSOLETE (was not defined before being made obsolete).	molecular_function
GO:0008490	Catalysis of the transfer of arsenite from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport.	molecular_function
GO:0008324	Enables the transfer of cation from one side of the membrane to the other.	molecular_function
GO:0010542	Enables the transfer of nitrate from the inside of the cell to the outside of the cell across a membrane.	molecular_function
GO:1990614	A process in which a magnesium ion is transported from one side of a mitochondrial membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:1990591	The directed movement of asparagine into the vacuole across the vacuolar membrane.	biological_process
GO:1990575	The directed movement of L-ornithine from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990570	The directed movement of GDP-mannose across a membrane.	biological_process
GO:1990569	The directed movement of UDP-N-acetylglucosamine across a membrane.	biological_process
GO:1990559	The directed movement of coenzyme A from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990558	The directed movement of malonate(1-) from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990557	The directed movement of sulfate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990556	The directed movement of isopropylmalate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990555	The directed movement of oxaloacetate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990554	The directed movement of 3'-phospho-5'-adenylyl sulfate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990553	The directed movement of 5'-adenylyl sulfate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990551	The directed movement of 2-oxoadipate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990550	The directed movement of alpha-ketoglutarate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990549	The directed movement of NAD from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990548	The directed movement of FAD from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990547	The directed movement of phosphate ion from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990546	The directed movement of a tricarboxylic acid from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990545	The directed movement of thiamine pyrophosphate from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990544	The directed movement of ATP from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990543	The directed movement of S-adenosyl-L-methionine from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990541	The directed movement of citrate, 2-hydroxy-1,2,3-propanetricarboyxlate, from one side of a membrane to the other into, out of or within a mitochondrion.	biological_process
GO:1990540	A process in which a manganese ion is transported from one side of a mitochondrial membrane to the other by means of some agent such as a transporter or pore.	biological_process
GO:1990536	The directed movement of phosphoenolpyruvate into the Golgi lumen across the Golgi membrane.	biological_process
GO:1901020	Any process that stops, prevents or reduces the frequency, rate or extent of calcium ion transmembrane transporter activity.	biological_process
GO:1901021	Any process that activates or increases the frequency, rate or extent of calcium ion transmembrane transporter activity.	biological_process
GO:0019531	Enables the transfer of oxalate from one side of the membrane to the other. Oxalate, or ethanedioic acid, occurs in many plants and is highly toxic to animals.	molecular_function
GO:0004714	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate.	molecular_function
